b1,b2,b3,b4,b5,b6,b7,b8,b9,target
-1,1,1,1,-1,-1,-1,1,1,empate
-1,1,1,1,-1,-1,-1,1,1,empate
-1,1,1,1,-1,-1,-1,1,1,empate
-1,1,1,1,-1,-1,-1,1,1,empate
1,-1,1,1,1,-1,-1,1,-1,empate
-1,1,-1,1,-1,1,1,-1,1,empate
-1,1,-1,1,-1,1,1,-1,1,empate
-1,1,1,1,-1,-1,1,-1,1,empate
-1,-1,1,1,1,-1,-1,1,1,empate
-1,1,1,1,1,-1,-1,-1,1,empate
1,-1,1,-1,1,1,-1,1,-1,empate
-1,1,1,1,-1,-1,-1,1,1,empate
1,-1,-1,-1,1,1,1,1,-1,empate
1,-1,1,-1,1,1,-1,1,-1,empate
-1,1,-1,1,-1,1,1,-1,1,empate
1,1,-1,-1,1,1,1,-1,-1,empate
1,1,-1,-1,1,1,1,-1,-1,empate
1,-1,-1,-1,1,1,1,1,-1,empate
-1,1,1,1,-1,-1,1,-1,1,empate
-1,1,-1,1,-1,1,1,-1,1,empate
1,-1,-1,-1,1,1,1,1,-1,empate
1,-1,1,1,1,-1,-1,1,-1,empate
-1,1,-1,1,1,-1,1,-1,1,empate
1,-1,-1,-1,1,1,1,1,-1,empate
1,1,-1,-1,-1,1,1,-1,1,empate
1,-1,1,-1,1,1,-1,1,-1,empate
1,-1,1,1,-1,-1,-1,1,1,empate
1,-1,1,-1,-1,1,1,1,-1,empate
-1,1,1,1,-1,-1,1,-1,1,empate
1,-1,-1,-1,1,1,1,1,-1,empate
-1,1,-1,1,-1,1,1,-1,1,empate
1,-1,1,1,-1,1,-1,1,-1,empate
1,1,-1,-1,1,1,1,-1,-1,empate
1,1,-1,-1,-1,1,1,-1,1,empate
-1,1,1,1,1,-1,-1,-1,1,empate
-1,1,1,1,-1,-1,-1,1,1,empate
1,-1,1,-1,-1,1,1,1,-1,empate
-1,1,-1,-1,1,1,1,-1,1,empate
-1,1,1,1,-1,-1,1,-1,1,empate
1,-1,1,1,-1,-1,-1,1,1,empate
-1,-1,1,1,1,-1,-1,1,1,empate
-1,-1,1,1,1,-1,-1,1,1,empate
1,-1,1,-1,-1,1,1,1,-1,empate
1,-1,-1,-1,1,1,1,1,-1,empate
1,-1,1,1,1,-1,-1,1,-1,empate
1,1,-1,-1,1,1,1,-1,-1,empate
-1,1,-1,1,-1,1,1,-1,1,empate
1,1,-1,-1,1,1,1,-1,-1,empate
-1,1,1,1,1,-1,-1,-1,1,empate
1,-1,1,1,1,-1,-1,1,-1,empate
0,0,-1,-1,0,1,1,1,-1,tem jogo
1,0,-1,-1,0,-1,0,1,1,tem jogo
-1,1,1,-1,-1,0,1,0,0,tem jogo
-1,1,0,1,-1,-1,1,0,0,tem jogo
-1,0,-1,1,-1,1,0,0,1,tem jogo
0,1,0,-1,-1,1,1,0,-1,tem jogo
-1,1,1,0,-1,-1,0,0,1,tem jogo
0,-1,1,-1,1,0,-1,1,0,tem jogo
